"-"
"Berkmann, Burhard J."
"Berkmann, Burkard J."
"Berkmann, Burkhard"
"Berkmann, Burkhard J."
"Berkmann, Burkhard Josef"
"Berkowsky, Wilfried"
"Berlingò, Salvatore"
"Berlis, Angela"
"Berman, Harold J."
"Bermejo, Luis M."
"Bermejo, Romualdo"
"Bernacer, J."
"Bernal, J."
"Bernal, José"
"Bernal Palacios, Arturo"
"Bernal Pascual, José"
"Bernal Restrepo, Sergio"
"Bernard, Bénédicte"
"Bernard, Felix"
"Bernardini, Corrado"
"Bernards, Kordula"
"Berndt, Sebastian"
"Bernet-Strahm, Toni"
"Bernhard, Armin"
"Bernhard, Jean"
"Bernhardt, Reinhold"
"Bernoza Martínez, Raúl"
"Berov, Hristo P."
"Beroza Martínez, Cecilio R."
"Beroza Martínez, Raul"
"Berryman, Phillip"
"Berry, Vincent"
"Berschauer, Hubert"
"Bersini, Francesco"
"Bertagna, Bruno"
"Bertel, Erhard"
"Bertolini, Giacomo"
"Bertolino, Rinaldo","1127893084"
"Bertomeu Farnós, Jordi"
"Bertone, Tarcisio D."
"Bertone, Tarcisio"
"Bertone, Tarsicio Kardinal"
"Bertram Martin"
"Bertram, Martin"
"Bertram, Martin u. a."
"Bertrand, Dominique"
"Bertsch, Ludwig"
"Bertz, Fabian"
"Berzdorf, Franzikus"
"Berzdorf, Franziskus"
"Berzona Martínez, Raúl"
"Berzosa Martínez, Cecilio R."
"Berzosa Martínez, Raúl"
"Besier, Gerhard"
"Besselink, Leonard F. M."
"Besson, Eric"
"Bestawros, Adel A."
"Betengne, Jean P."
"Betengne, Jean-Paul"
"Bethke, Jürgen"
"Bettetini, Andrea",1082573922
"Betticher, Nicolas"
"Betti, Leonardo"
"Betti, Umberto"
"Betz, Elisabeth"
"Betz, Klemens"
"Beuchot, Mauricio"
"Beumann, Jutta"
"Beutler, Johannes"
"Beyer, Evija"
"Beyer, Jean-Baptiste"
"Beyer, Jean B."
"Beyer, Jean"
"Beykirch, Ursula"
"Bezirksgericht Erfurt","7742050-0"
"BFH","5031620-5"
"BGB BAG"
"BGH","2118180-9"
"Bharanikulangara, Kuriakose"
"Bianchi, Enzo"
"Bianchi, Paolo"
"Bianchi, Paulo"
"Bianci, Paolo"
"Bia?obrzeski, Tomasz"
"Bia?ocerkiewicz, Jan"
"Biasini, Alessandro"
"Biasiori, Lucio"
"Biasoni, Franco"
"Bieberstein, Sabine"
"Biechler, James"
"Bielaszka, Grzegorz P."
"Bielefeldt, Heiner"
"Bielitz, Klaus"
"Bierbaumer, Edith"
"Bier, Georg"
"Bieringer, Andreas"
"Biesinger, Albert"
"Bietmann, Rolf"
"Biffi, Franco"
"Biffi, Giacomo"
"Bijstervald, Sohpie van"
"Biju-Duval, Denis"
"Bildungsministerium Rheinland-Pfalz"
"Bilicka, Sylwia"
"Binder, Christian"
"Binder, Dieter A."
"Bingemer, Maria C. L."
"Bioly, Jòzef u. a."
"Birk, Dieter"
"Birmelé, André"
"Birmelé, Jean-Daniel"
"Birmingham Metropolitan Tribunal"
"Birr, Christiane"
"Birrewitz, Ferdinand"
"Biscardi, Arnaldo"
"Bischfo von Würzburg"
"Bischof Dresden"
"Bischöfe der Kirchenprovinzen München und Freising und Bamberg"
"Bischöfe der Oberrheinischen Kirchenprovinz"
"Bischöfe von Buenos Aires"
"Bischof, Franz-Xaver"
"Bischof, Franz X."
"Bischöfliche Finanzkammer"
"Bischöfliche Finanzkammer Passau"
"Bischöfliche Finanzkammer Regensburg"
"Bischöfliche Finanzkammer Speyer"
"Bischöfliche Finanzkammer Würzburg"
"Bischöflicher Finanzdirektor von Augsburg"
"Bischöflicher Generalvikar Trier"
"Bischöflicher Offizial  Vechta","4321819-2"
"Bischöflicher Offizial Vechta","4321819-2"
"Bischöflicher Vikar Fulda"
"Bischöfliches Amt Magdeburg"
"Bischöfliches Amt Schwerin"
"Bischöfliches Generalvikariat Aachen"
"Bischöfliches Offizialat Münster"
