"-"
"Bischof von Madeburg"
"Bischof von Madgeburg"
"Bischof  von Magdeburg"
"Bischof von Magdeburg"
"Bischof von Magedburg"
"Bischof von Mainz"
"Bischof von Mar del Plata"
"Bischof von  Münster"
"Bischof von Münster"
"Bischof von Osnabrück"
"Bischof von Osnbrück"
"Bischof von Passau"
"Bischof von Regensburg"
"Bischof von Rottenburg Stuttgart"
"Bischof von Rottenburg-Stuttgart"
"Bischof von Rottenburg-StuttgartN"
"Bischof von -Speyer"
"Bischof von Speyer"
"Bischof von St. Gallen"
"Bischof von St. Pölten"
"Bischof von Tirer"
"Bischof von Trier"
"Bischof von Würzburg"
"Biskup, Rainer"
"Bisschops, Anke M. H."
"Bissoli, Cesare"
"Bisson, Alain-François"
"Bistum Dresden-Meißen"
"Bistum Essen","16272593-0"
"Bistum Görlitz"
"Bistum Magdeburg"
"Bistum Regensburg","1087516064"
"Bistum Trier"
"Bitjoka, Albert"
"Bitowt, Aleksandra"
"Bitterli, Marius J."
"Bittner, Gregory T."
"Bivolarov, Vasil"
"Bizarro, Cónego Á."
"BK-Australien"
"BK-Bayern","1042255-9"
"BK-Belgien"
"BK-Berlin","1052468-X"
"BK-England/Wales","5172490-X"
"BK-Irland","16118253-7"
"BK-Italien","127537-9"
"BK-Kanada","4431277-5"
"BK-Kananda","4431277-5"
"BK-Kongo"
"BK-Litauen","3057173-X"
"BK-Malta"
"BK-Niederlande","4703427-0"
"BK Österreich","2020819-4"
"BK-Österreich","2020819-4"
"BK-Philippinen"
"BK-Polen","2068529-4"
"BK-Russland"
"BK-Schweiz","2038473-7"
"BK-Spanien","4371486-9"
"BK-Thailand"
"BK-USA","4205426-6"
"Blaise, Jean-Louis"
"Blanco, María"
"Blanco, Teresa"
"Blandre, Bernard"
"Blaney"
"Blasberg-Kuhnke, Martina"
"Blaschke, Klaus"
"Blasi, Antonello","1031911588"
"Blasrus, Dirk"
"Blättel-Mink, Birgit"
"Blázquez Lidoy, Alejandro"
"Blázquez, Ricardo"
"Blechta, Gabor-Paul"
"Blei, Karel"
"Bleisch Bouzar, Petra"
"Bleistein, Franzjosef"
"Bleistein, Roman"
"Blens, Dirk"
"Bley, Helmar"
"Blinzer, Christian"
"Bloch, Rolf"
"Bloch, Tamara"
"Blomeyer, Wolfgang"
"Bloss, Lasia"
"Blumenthal, Uta-Renate"
"Blum, Nikolaus"
"Blyskal, Lucy M."
"Boberski, Heiner"
"Bocala, Henry"
"Boccaccio, Michael A."
"Boccafola, Keneth E."
"Boccafola, Kenneth"
"Boccafola,  Kenneth E."
"Boccafola, Kenneth E."
"Boccafolia, Kenneth E."
"Boccardelli, Bruno"
"Böckel, Martin"
"Böckenförde, Ernst"
"Böckenförde, Ernst-Wolfgang"
"Böckenförde, Werner"
"Böckenförde-Wunderlich, Barbara"
"Bock, Martin"
"Bock, Veronika"
"Bock, Wolfgang"
"Bocos Merino, Aquilino"
"Bode, Franz-Josef"
"Boecker, Robert"
"Boeglin, Jean-Georges"
"Boekholt, Peter"
"Boelens, O. G. M."
"Boelens, Olav G. M."
"Boff, Leonardo"
"Bogarín Díaz, Jesús"
"Bogner, Daniel"
"Bogusz, Ryszard"
"Böhland, Susanne"
"Bohlen, Bernhard"
"Bohlen, Reinhold"
"Böhler, Heidemarie"
"Böhles, Michael"
"Bohl, Gottfried"
"Bohmeyer, Axel"
"Böhm, Thomas"
"Bohnert, Joachim"
"Böhnke, Michael"
"Bohr, David"
"Boiron, Stéphane"
"Boix Font, Ignacio"
"Bolchi, Elena L."
"Bolduc, Norman P."
"Bolen, Donald"
"Boleratzky, Lóránd"
"Bolgiani, Isabella"
"Bollwerk, Jan"
"Bolognini, Franco"
"Bombín, Luis M."
"Bomhoff, Hartmut"
"Bomprezzi, Alberto"
"Bona, Richard"
"Bonath, Stefan"
"Bonatto, Levi"
"Bonechi, Nicolas"
"Bonet Alcón, José"
"Bonet Navarro, Jaime"
"Bonfils, P."
"Bongardt, Michael"
"Bongartz, Thomas"
"Bongianni, Roberto"
"Boni, Andrea"
"Bonicelli, Cesare"
"Bonicelli, Cesare u. a."
"Bonicelli, Gaetano"
"Boni, Geraldina"
"Bonnemain, Joseph M."
"Bonnet, Antonio"
"Bonnet, Henry"
"Bonnet, Jean-Louis"
"Bonnet, Louis"
"Bonnet, Michel"
"Bonnet, Pier A."
"Bonnet, Piero A."
"Bonnet, Piero Antonio"
"Bonny, Johan"
"Bontempi, Emanuele"
"Bonvegna, Giuseppe"
"Bopp, Karl"
"Boquiren, Randifer"
"Borchardt, Karl"
"Bordes, Thérèse"
"Bordonali, Salvatore","133225739"
"Bordowski"
"Borek, Dariusz"
"Borelli, Gaetano"
"Borelli, Noemi"
"Borges Chamorro, Ana M."
"Borgman, Eric"
"Borgman, Erik"
"Borgolte, Michael"
"Borgueta, Filomeno O."
"Borja Dosdá, Vicente"
"Bormann, Franz-Josef"
"Bormann, Lukas"
"Borowski, Martin"
"Borras, Alphonse"
"Borshch, Irina"
"Borzone, Ottavio"
"Bosca, Roberto"
"Bosch Barrera, Marc"
"Bosch Carrera, Jordi"
"Bosch Carrera, Jorge"
"Bosch, Friedrich W."
"Boschi, Francesco"
"Boschik, Reinhold"
"Bosch, Jordi"
"Boschki, Reinhold"
"Bosch, Marc"
"Bosco, John"
"Bosetti, Giancarlo"
"Bosnien und Herzegowina"
"Bossart, Josef"
"Bosscher, Doeko J. F."
"Botta, Raffaele"
"Böttcher, Diethelm"
"Böttcher, Hartmut"
"Böttcher, Helmut"
"Böttigheimer, Christoph"
"Böttner, Brigitte"
"Bottone, Angelo"
"Bottone, Angelo B."
"Bottone, Angelo Bruno"
"Bottone, Angelus B."
"Bottone, Angelus Bruno"
"Boucher, Marie-Alice"
"Boudaud, J."
"Boudet, Emmanuel"
"Boulanger, Guy"
"Boumis, Panagiotis"
"Bourdieu, Pierre"
"Bourdin, Bernard"
"Bourlot, Oscar A."
"Bousamra, Charbel"
"Bouscaren, T. Lincoln"
"Bowers, Ronald J."
"Boyel, Kevin"
"Boyer, Jean-Jacques"
"Boyle, John"
"Boyle, John P."
"Boyle, Kevin"
"Boyle, Leonard E."
"Boza Puerta, Luis-Pablo"
"Bozoyan, Azat"
"BPatG","5059078-9"
"BPatG München","5059078-9"
"B-Quilmes"
"Braaten, Carl E."
"Bradley, Gerard V."
"Bradley, Michael"
"Bradley, Michael J."
"Braggion, Paola"
"Brahy, Sylvie"
"Brambilla, Franco G."
"Bramorski, Jacek"
"Bräm, Werner"
"Branagan, Patrick"
"Brancatelli, Stefano"
"Brancatisano Manzi, Marta"
"Brancherau, Pierre"
"Branchereau, Pierre"
"Brandes, Wolfram"
"Brandl, Alfons"
"Brandl, Ludwig"
"Brandmüller, Walter"
"Brandt, Henry G."
"Brand, Yitzhak"
"Brantl, Johannes"
"Brantzen, Hubertus"
"Brasca, Angelo"
"Brasington, Bruce"
"Brasington, Bruce C."
"Brassesco, Pedro"
"Brauburger, Heinz"
"Braunbeck, Elisabeth"
"Brauneder, Wilhelm"
"Braun, Karl"
"Brauns, Martina"
"Bravi, Maurizio C."
"BRD"
"Brechenmacher, Thomas"
"Brecht, Martin"
"Bredeck, Michael"
"Bregatini, Giancarlo M."
"Breitbach, Udo"
"Breitenbeck, Marie A."
"Breitsameter, Christof"
"Breitsching, Konrad"
"Bremen"
"Bremer, Thomas"
"Brennan, Dominica"
"Brennan, Margaret"
"Brennan, Patrick S."
"Brenner, Michael"
"Brenner, Tobias"
"Bresciani, Maria C."
"Bresnahan, James F."
"Bressers, A. M. M."
"Brett, Martin"
"Breuer, Clemens"
"Breuning, Wilhelm"
"Breviglieri, Lino"
"Brewer, Dexter"
"Brewster, Alan S."
"Briacca, Giuseppe"
"Brienza, Giuseppe"
"Brieskorn, Norbert"
"Brighenti, Agenor"
"Brigliozzi, Pietro"
"Briones, Irene"
"Briones Martinét, Irene M."
"Briones Martínez, Irene M."
"Briza, Klaus"
"Brobeck, Christiane"
"Brockie, Michael"
"Brockmann, Claudia"
"Brogi, Marco D."
"Brogi, Marco"
"Broglio, Francesco M."
"Broglio, Timothy P."
"Broksch, Gabriela"
"Broleze, Adriano"
"Brosi, Urs"
"Brosius-Gersdorf, Frauke"
"Brossa, Xavier"
"Brosse, Richard"
"Broto, Eulogi"
"Brovarone, Ilaria"
"Brown, Michel"
"Brown, Philip J."
"Brown, Philipp J."
"Brown, Phillip J."
"Brown, Ralph"
"Brown, Warren A."
"Brown, Warren"
"Brox, Hans"
"Bruckenmaier, Achim"
"Brückner, Carola"
"Brucksch, Thomas"
"Brufnotto, Giuliano"
"Brüggemann, Alexander"
"Brugger, Eveline"
"Brugnotto, Giuliano"
"Brugnotto, Guiliano"
"Brugnotto, Guliano"
"Bruguès, Jean-Louis"
"Bruhin, Josef"
"Bruhin, Joseph SJ"
"Brühl, Steffen"
"Brundage, James A."
"Brundage, Thomas T."
"Bründl, Jürgen"
"Brune, Joachim"
"Brunelli, Giampiero"
"Brunet, Ana M. C."
"Brunet, Ester"
"Brunetta, Giuseppe"
"Brunetta, Juan-Diego"
"Brunetta, Mario J.-D."
"Brunetti, Manlio"
"Brunnbauer, Martin"
"Brünner, Frank"
"Brunner, Markus"
"Bruno, Francesco"
"Bruno, Franciscus"
"Brunori-De-Siervo, Maria T."
"Bruns, Bernhard"
"Brunsmann, Barry"
"Bruns, Peter"
"Brüntrup, Godehard"
"Brutti, Carlo"
"Brutti, Rita P."
"Brzemia-Bonarek, Aleksandra"
"BSG","5057304-4"
"Bubenheimer, Ulrich"
"Bucci, Alessandro"
"Bucciero, Mauro"
"Bucci, Honorato"
"Bucci, Onorato"
"Bucher, Anton A."
"Bucher, Anton"
"Bucher, Rainer"
"Büchner, Bernward"
"Buchner, Jürgen","173604196"
"Büchse, Angelika"
"Buchwald, Franziska M."
"Buckenmaier, Achim"
"Bücker, Kerstin"
"Bucklar, Daniel"
"Buckley, Joseph","123947928"
"Budin, Joachim"
"Budischowski, Jens"
"Budischowsky, Jens"
"Budney, Linda A."
"Budsky, Dominik"
"Büeler, Gabriele (Vidyaprakashananda, Swamini)"
"Bueno Salinas, Santiago"
"Buetow, Harold A."
"Bueya bu Biphasi, Antoine"
"Buff, Christoph"
"Bugelli, Alexandre"
"Buhlmann, Nicolaus U."
"Buide del Real, Francisco J."
"Buide de Real, Francisco J."
"Buisson, Ludwig"
"Bullinger, Martin"
"Bullmann, Boris"
"Bulter, Nico"
"Bundage, James A."
"Bund der Baptistengemeinden in Österreich"
"Bund der Europäischen Mennonitischen Brüdergemeinden"
"Bundesgericht Schweiz","37886-0"
"Bundesminister für Finanzen","2028887-6"
"Bundespatentgericht","5059078-9"
"Bundesrepublik Deutschland","2117038-1"
"Bundesverfassungsgericht","2117905-0"
"Bund Evangelikaler Gemeinden in Österreich"
"Bundschuh-Schramm, Christiane"
"Bunge, Alejandro W."
"Bunge, Alexandro W."
"Büning, Markus"
"Bünker, Michael"
"Buonaiuto, Paolo"
"Buonanno, Michael"
"Buonomo, Vincenzo"
"Burczak, Krzysztof"
"Burger, Guido"
"Burgess, Ian"
"Burghardt, Benno"
"Burghardt, Dominik"
"Burkard, Dominik"
"Burke, Cormac"
"Burke, Cormag"
"Burke, John J."
"Burke, Paul"
"Burke, Raymond"
"Burke, Raymond, L."
"Burke, Raymond Leo, Apostolische Signatur, 01.01.2013"
"Burke, Raymond Leo, Apostolische Signatur, 01.12.2009"
"Burke, Raymond Leo, Apostolische Signatur, 20.01.2012"
"Burke, Raymond Leo, Apostolische Signatur, 27.02.2014"
"Burke, Raymond Leo, Apostolische Signatur, 27.11.2010"
"Burke, Raymond Leo"
"Burke, Raymond L."
"Burke, Raymon Leo"
"Burkhard, John J."
"Burkhard, Jürgens"
"Burkhard Jürgens und Michael Lenz"
"Burkhart, Ernst"
"Burki, E. P."
"Bürki, Silvianne"
"Burns, Brian"
"Burrichter, Rita"
"Burrows, William R."
"Buscaglia, Giuseppe"
"Busch, Joerg W."
"Buschmann, Arno"
"Busch, Raimund"
"Busek, Erhard"
"Buselli Mondin, Paola"
"Busemann, Andreas"
"Buser, Denise"
"Bush, Feura"
"Busi, Giulio"
"Busse, Gerlinde"
"Busso, Ariel David"
"Busso, Ariel D."
"Busugutsala, Gandayi G."
"Butin, Jacques-Dominique"
"Butler, Sara"
"Butters, James"
"Buttiglione, Rocco"
"Büttner, Friedmann"
"Büttner, Gerhard"
"Buxbaum, Engelbert M."
"Buzzo, Ariel David"
"Buzzo Sarlo, José G."
"BVerfG","2117905-0"
"BVerfG (1. Kammer des 2. Senats)","2117905-0"
"BVerfG (2. Kammer des Zweiten Senats)","2117905-0"
"BVerfG (3. Kammer des Ersten Senats)","2117905-0"
"BVerfG (Vorprüfungsausschuss)","2117905-0"
"BVerG","5054870-0"
"BVerwG","5054870-0"
"BVG","5054870-0"
"BVwerG","5054870-0"
"Bwana, Steven"
"Byrne, B."
"Byrne, Dominic"
"Byrne, Dominique"
"Byrnes, Michael"
"Byron, William J."
"Bzdak, Hanna"
"Cabellero, Luis M."
"Cabello Martínez, Manuel"
"Caberletti, Giodarno"
"Caberletti, Giordano"
"Caberletti, Iordanus"
"Caberletti, Jordano"
"Caberletti, Jordanus"
"Cabeza Cañavate, Juan M."
"Cabezas Cañavate, Juan Manuel"
"Cablanc, Anne"
"Cabra, Pier G."
"Cabrera López, Rubén"
"Cachia, Eugenius"
"Cacioppo, Francesco"
"Cadavid, J. L. Fernandéz"
"Cadeddu, Francesaca"
"Cadelo de Isla, Enrique"
"Cador, Vincent"
"Cafardi, Nicholas P."
"Caffara, Carlo"
"Caffara, Carolus"
"Caffarra, Carlo"
"Caglioti, Bruno"
"Cahill, Lisa S."
"Caielli, Mia"
"Caiuby Crescenti, José G."
"Calabrese, Antonio"
"Calantonio, Rosario"
"Caldas Bosch, Angel"
"Caliman, C."
"Callahan, Sidney"
"Callangan Aquino, Ranhilio"
"Callebat, Bernard M."
"Callejo de Paz, Rufino"
"Callieri, Bruno"
"Calligiorgis, Jérémie"
"Callioli, Eugenio C."
"Calvi, Massimo"
"Calvo-Alvarez, Joaquín"
"Calvo Álvarez, Joaquín"
"Calvo-Álvarez, Joaquín"
"Calvo Gómez, José A."
"Calvo, Juan"
"Calvo Otero, Juan"
"Calvo Randolph"
"Calvo, Randolph R."
"Calvo Tojo, Manuel"
"Camara, Fatou Kin"
"Camarero Suarez, María C."
"Camarero Suárez, Marita"
"Camassa Aurea, Erminia"
"Camdessus, Michel"
"Camera dei Deputati"
"Cameron, Gregory"
"Campagnion, Pierre"
"Campagnola, Maria E."
"Campagnola, Maria Elena"
"Campanini, Massimo"
"Campbell, Donald M."
"Campbell, James"
"Campbell, Michael G."
"Campenhausen, Axel v."
"Campenhausen, Axel von"
"Camp, George"
"Campo del Pozo, Fernando"
"Campo Ibáñez, Miguel"
"Campo Ibáñez, Miguel S. J."
"Campori, Giovanni M."
"Campos de Pro, Eugenio M."
"Canale, Giuseppe"
"Canale, Giuseppina"
"Cañal García, Francisco J."
"Canals, Salvatore"
"Cañamares Arribas, Santiago"
"Cañamares, Santiago"
"Cañameres Arribas, Santiago"
"Cananzi, Raffaele"
"Canarias Fernández-Cavada, Jorge"
"Canart, Jean-Pierre"
"Candelier, Gaston"
"Canestri, Giovanni"
"Canning, Joseph"
"Cannon, Robert R."
"Canonico, Marco"
"Canon Law Society-GB/IRL","45829-6"
"Canon Law Society of America","67023-6"
"Canon Law Society of Great Britain and Ireland","45829-6"
"Canon Law Society of Great Britain and Ireland in association with The Canadian Canon Law Society"
"Canosa, Javier"
"Cantan, André"
"Cantarella, Glanco M."
"Cantelar Rodriges, Francisco"
"Cantelar Rodríguez, Francisco"
"Cantelmi, Tonino"
"Cantero, Gabriel G."
"Caparros, E.","174157878"
"Caparros, Ernest","174157878"
"Caparrós Soler, María d. C."
"Caparrós Soler, María del Carmen"
"Capello, Hugo Héctor"
"Capezzali"
"Capizzi, Joseph"
"Capony, Yves"
"Cappellini, Ernesto"
"Cappello, Hugo H."
"Cappello, Hugo Héctor"
"Cappelo, Hugo H."
"Capponi, Neri"
"Caprile, Giovanni"
"Caprio, Giuseppe"
"Caprioli, Adriano"
"Caprioli, Mario"
"Capseta Castella, Joan"
"Capucci, Giovanni"
"Caputo, Giuseppe"
"Capuzza, Vittorio"
"Caramsa, Krzysztof"
"Carandang, Amando G."
"Carbasse, Jean-Marie"
"Carbone, Vincenzo"
"Carbonneau, Robert"
"Cárcel Ortí, Vicente"
"Cárcel Ortí, Vincente"
"Cárdenas del Carre, Jaime"
"Cardia, Carlo"
"Cardinale, Marco"
"CARDINALIUM COMMISSIO AD VIGILANDUM"
"Cardona Soriano, Manuel"
"Cardoso, Ricardo"
"Carfardi, Nicholas P."
"Caridi, Settimio C."
"Caritasverband Lüneburg"
"Caritasverband Speyer"
"Carl, Alfred"
"Carlen, Louis"
"Carlesimo, Fausto"
"Carloni, Lorenzo"
"Carlo R."
"Carlos, Juan"
"Carlson, Robert J."
"Carmichael, Calum"
"Carmignani Caridi, Settimio"
"Carmignani Caridi, Settimo"
"Carmody, John"
"Carobene, Germana"
"Caroleo, Emma"
"Caron, Marc B."
"Caron, Pier G."
"Carozza, Paolo G."
"Carpio Sardón, Luis A."
"Carp, Radu"
"Carragher, Michael"
"Carrasco Rouco, Alfonso"
"Carratù, Francesco J."
"Carreras, Joan"
"Carrez, Maurice"
"Carriazo Hernández, José I."
"Carrillo Aguilar, Alfonso"
"Carrión, Jose M. P."
"Carriquiry Lecour, Guzmán"
"Carrodeguas Nieto, Celestino"
"Carulli, Ombretta Fumagalli"
"Caruso, Carina"
"Carvajal Moral, Delfina"
"Carvajal Prieto, José A."
"Carvalho Cunha, Cleones"
"Carzaniga, Gianni"
"Casadei, Thomas"
"Casado, A. Martinez"
"Casanova, José"
"Casaretto, Jorge"
"Casaroli, Agostino"
"Casavola, Franco"
"Casellati Alberti, Maria E."
"Casellati Alberti, M. Elisabetta"
"Caserta, Giannamaria"
"Casetti, Christoph"
"Casey, James","108925119X"
"Casey, Maria"
"Casey, Maria B."
"Casey, Michael A."
"Casieri, Antonio"
"Casini, Carolo"
"Casiraghi, Annaluisa"
"Cassandro, Giorgia"
"Cassazione Civile"
"Cassimiro Sobrinho, José"
"Cassola Ovidio"
"Cassone, Andrea"
"Castaño, Fernàndez J. M."
"Castaño, José F."
"Castaño, José"
"Castaños-Mollor, Manuel-Ignacio"
"Castella, Claude"
"Castellà, Josep M."
"Castellan, Claire"
"Castelucci, Erio"
"Castiella Rodríguez, Pedro"
"Castiello"
"Castiglione, Luigi"
"Castillo, Beatriz"
"Castillo, José M."
"Castillo Lara, Rosalio J."
"Castillo Lara, Rosalio u. a."
"Castillo Lara, Rosario J."
"Castilo, Beatriz"
"Castrillon Hoyos, Dario"
"Castro Argüelles, María A."
"Castro Jover, Adoracion"
"Castro Sáenz, Alsonso"
"Casuscelli, Giuseppe"
"Casutt von Batemberg, Friedrich"
"Catalano, Gaetano","  1127890557"
"Catela Marcos, Isidro"
"Catholic Theological Society of America","4520-2"
"Catinella, Antonio"
"Catoir, John"
"Catozella, Francesco"
"Catozzella, Francesco"
"Cattaneo, Arturo"
"Catterin, Massimo"
"Cauty, Charles"
"Cavagnoli, Gianni"
"Cavalaglio, Lorenzo"
"Cava, Ludovico"
"Cavanagh, David J."
"Cavana, Paolo"
"Cavelti, Urs J.","105108103"
"Caviedes, Fernando"
"Cavuldak, Ahmet"
"Cayuela, Regulo G. L."
"CCEE","1052595-6"
"CDU-Landtagsfraktion von Rheinland-Pfalz"
"Ceballos Solís, Jesús A."
"Cebreiros Álvarez, Eduardo"
"Ceccarelli Morolli, Danilo"
"Ceccarelli-Morolli, Danilo"
"Ceccarini, Cristina"
"Cecci, Fabrizio"
"Cecere, Giuseppe"
"Celeghin, Adriano"
"Celli, Claudio Maria"
"Celsi, Francesco R."
"Cenalmor, Daniel"
"Centre National de Pastorale Liturgique"
"Centro italiano di studi sull' alto mediocro"
"Centro Italiano di studi sull’alto medioevo"
"Cerami, Pietro"
"Cercas Rueda, José L."
"Cercas Rueda, Miguel A."
"Cerezuela García, Carlos A."
"Cerioli, Jlia P."
"Cerioli, Jlia Pasquali"
"Cerny-Werner, Roland"
"Cerreto, Giovanna"
"Cerullo, Deborah M."
"Cervera Sebastia, Maria I."
"Cesarini, Alessandro"
"Ceschini, Miguel"
"Ceserani, Alessandro"
"Céspedes, Geraldina"
"Cevera Soto, Teresa"
"Ceylan, Rauf"
"Chadwick, Henry"
"Chadwick, Julian"
"Chagas de Paiva, Anselmo D."
"Chagas de Paiva, Eustáquio"
"Chahinian, Krikor"
"Chalmers, John"
"Chaloner, John"
"Chalón, Rafael R."
"Chamosa Martin, Ovidio"
"Chantraines, Georges"
"Chapa Imaz, Jorge"
"Chapelle, Albert"
"Chaplin, Vsevolod"
"Charamsa, Krzysztof"
"Charff, Michèle"
"Charlier, Michael"
"Chauvet, Louis-Marie"
"Cheaib, Robert"
"Che Chen-Tao, Vincent"
"Chedor, Reinhard"
"Chelini-Pont, Blandine"
"Chenu, Bruno"
"Chevailler, Laurent"
"Chialà, Sabino"
"Chiappetta, Luigi"
"Chiappini, Azzolino"
"Chiaretti, Giuseppe"
"Chibuzor Chiegboka, Anthony B."
"Chica Arellano, Fernando"
"Chiclana Áctis, José María"
"Chidgey, Gerald"
"Chiegboka, Anthony B. C."
"Chierichetti, Giovanni"
"Chino Agoha, Christopher"
"Chiramel, Jose"
"Chirico, Adriana"
"Chiron, Jean-François"
"Chizzoniti, Antonio G."
"Chobiz, Roman"
"Chodorow, Stanley"
"Cholij, Roman M. T."
"Chopko, Mark E."
"Chrapkowski, Arnold"
"Christengemeinschaft – Bewegung für religiöse Erneuerung in Österreich"
"Christensen, Katherine"
"Christiansen, Anselm"
"Christiansen, Drew"
"Christians, Louis-Léon"
"Christinakis, Eirini"
"Christinakis, Panajiotis E."
"Christódoulos"
"Christoffersen, Lisbet"
"Christoph"
"Christoph Arens"
"Christoph, Joachim, E."
"Christoph, Joachim E."
"Christoph Renzikowski und Michael Merten"
"Christoph Schmidt"
"Christoph Scholz"
"Chrysos, Evangelos"
"Chrystostomos II."
"Chua Soo Meng, Jude"
"Chukwuma Nwali, Abraham"
"Churchill, Paul"
"Cianconi, Paolo"
"Ciani, Americano"
"Ciani, Americo"
"Ciani, Amerigo"
"Cianitto, Cristiana"
"Ciardi, Fabio"
"Ciaurriz, Maria J."
"Ciáurriz, Mariá J. u. a."
"Ciccimarra, Francesco"
"Cid, Juan C. C."
"Cie?lak, Zbigniew"
"Cielo, Elizar A."
"Cierkowski, Stanis?aw"
"Ciesielski, Stefan"
"Ciferni, Andrew D."
"Cilerdzic, Andrej"
"Cimbalo, Giovanni"
"Cimbolic, Peter"
"Cinches, Miguel C."
"Cinquegrani, Riccardo"
"Ciprotti, Pio"
"Ciriello, Catarina"
"Cirrincione Scaiola, Daniel"
"Cissé, Abdoullah"
"Cito, Davide"
"Civili, Laurentius"
"Claessen, Herbert"
"Cla Reto, Famos"
"Clarke, James u. a."
"Clarke, Peter D."
"Clark, J. Michael"
"Classen, Claus D."
"Classen, Claus Dieter"
"Claude, René"
"Claus D."
"Clavadetscher, Otto P."
"Clemente, Rossana"
"Clement, Marc"
"Cleve, Jürgen","172941695"
"Clifford, Catherine E."
"Clough, Brian"
"CMI Koluthara, Varghese"
"Cobacho López, Ángel"
"Cocchianella, Bernardino"
"Cocchi, Guidus"
"Coccopalmerio, Francesco"
"Cociña y Abella, Manuel J."
"Coco, Giovanni"
"Cocrat, Monique"
"Coda, Piero"
"Codeluppi, Angela"
"Codes Belda, Guadalupe"
"Coenen, Lothar"
"Coertzen, Pieter"
"Cogan, Patrick"
"Cogan, Patrick J."
"Colagiovanni, Emilio"
"Colagiovanni, Emilio u. a."
"Colaianni, Nicola"
"Colantonio, Rosario"
"Colantonio, Rosario u. a."
"Cole, Basil"
"Colella, Pasquale"
"Coleman, Gerald D."
"Coleman, John A."
"Cole, Penny J."
"Colla, Oriana"
"Collin, Raymond F."
"Collins, Mary"
"Collins, Pius"
"Collins, Raymond F."
"Colombo, Achille"
"Colombo, Emanuela"
"Colombo, Giorgio Fabio"
"Colombo, Giovanna M."
"Colombo, Giuseppe"
"Colombo, Manuela"
"Colombo, Marcelo","  1057372323"
"Colombo, Mariano"
"Colpi, P."
"Colrat, Monique"
"Colucci, Maria G."
"Comatti, Giuseppe"
"Combalía, Zoila"
"Combalia, Zolia"
"Comeau, Geneviève"
"Comisión Episcopal de Ministerios de la Conferencia Episcopal Argentinia"
"Commissio Cardinalitiae pro studiis praeparatoriis codificationis orientalis"
"Commission concerning admission to priesthood of married former Anglican clergy"
"Commissione Presbiterale Italiana"
"Commitee for Reporting Jurisprudence, Canon Law Society of America"
"Committee for Christian Unity and the Theology Committee of the Bishop's Conference"
"Comoglio, Luigi Paolo"
"Comolli, Giovanna"
"Comotti, Giuseppe"
"Comotti, Guiseppe"
"Compagnola, Maria E."
"Compagnone, Paolo"
"Compagnoni, Francesco"
"Composta, Dario"
"Comunità Monastica di Deir Mar Musa"
"Concetti, Gino"
"Conclave"
"Conde Cid, Juan C."
"Conde, Guillermo H."
"Conde, Manuel J. A."
"Condé, Pierre-Yves"
"Condon, Edward"
"Condon, Mark T."
"Condon, Thomas M."
"Condorelli, Mario"
"Condorelli , Orazio"
"Condorelli, Orazio"
"Conetti, Mario"
"Conferencia Episcopal Argentina"
"Conferencia Episcopal Española"
"Conferenza Episcopale Italiana"
"Congar, Chris"
"Congar, Yves"
"Congragaion pro Doctrina Fidei","1087573564"
"Congragatio Pro Doctrina Fidei","1087573564"
"Congregati de institutione catholica","2034638-9"
"Congregatio de Causis Sanctorum","1090644140"
"Congregatio de Culto Divino","1221009-2"
"Congregatio de Culto Divino et Disciplina Sacramentorum","1221009-2"
"Congregatio de Cultu Divino et Disciplina Sacramentorum","1221009-2"
"Congregatio de Doctrina Fidei","1087573564"
"Congregatio de Institutione Catholica","4508038-0 "
"Congregatio de Institutione Catholica (de Seminariis atque Studiorum Institutis)","4508038-0 "
"Congregatio de Institutione Catholica (de studiorum Institutis)","4508038-0"
"Congregatio Eclesiis Orientalibus"
"Congregatione pro Gentium Evangelizatione","1090530463"
"Congregation for Divine Worship and the Discipline of the Sacraments","1221009-2"
"Congregation for the Doctrine of the Faith","1087573564"
"Congregation for the Oriental Churches","1247370-4"
"Congregationis de Causis Sanctorum","1090644140"
"Congregation pro Clericis","1017296-8"
"Congregation pro Doctrina Fidei","1087573564"
"Congregatio pro Causis Sanctorum","1090644140"
"Congregatio pro Clericis","1017296-8"
"Congregatio pro Clericis et aliae","1017296-8"
"Congregatio pro Clericis u. a.","1017296-8"
"Congregatio pro culto Divino et disciplina sacramentorum","1221009-2"
"Congregatio pro Cultu Divino","1221009-2"
"Congregatio pro docrina fidei","1087573564"
"Congregatio pro Doctrina Fidei","1087573564"
"Congregatio pro Ecclesiis Orientalibus","1247370-4"
"Congregatio pro ecclessiis orientalibus","1247370-4"
"Congregatio  pro Episcopis","7558621-6"
"Congregatio pro Episcopis","7558621-6"
"Congregatio pro episcopis, Congregatio pro gentium evangelizatione"
"Congregatio pro episcopis, Congregatio pro gentium evangelizatione."
"Congregatio pro Gentium Evangelizatione","1004630-6"
